category_id,category_title,sub_category_id,sub_category_title
202,"Mobility - Roads, Public transport",215,"Construction of flyovers/ underpass"
202,"Mobility - Roads, Public transport",217,"Installation of traffic lights"
202,"Mobility - Roads, Public transport",224,"Construction of skywalks"
202,"Mobility - Roads, Public transport",225,"Introduction of new bus routes"
203,"Water Supply",231,"Reduce water leakage and wastage"
203,"Water Supply",232,"Regular supply of water"
205,Sanitation,238,"Construction of storm water drains"
205,Sanitation,239,"Repair  of broken storm water drains"
205,Sanitation,240,"Desilting of Storm water Drains"
205,Sanitation,241,"Construction of sewage lines"
205,Sanitation,242,"Maintanence of sewage lines"
207,"Electricity & Power",246,"Repair of transformers/ electric poles"
207,"Electricity & Power",247,"Ensure efficient and uninterrupted power supply"
209,"Safety and Crime",256,"Increase police beat patrolling"
209,"Safety and Crime",257,"Introduce neighbourhood policing"
268,"Water Supply",276,"Increase public taps and borewells-water pumps"
268,"Water Supply",279,"Maintain regular water supply"
270,"Roads and Footpaths",289,"Build new footpaths and repair broken footpaths"
271,"Public transport (BMTC and Metro)",293,"Better quality and maintenance of buses"
271,"Public transport (BMTC and Metro)",294,"Build new bus stands or shelters"
271,"Public transport (BMTC and Metro)",296,"Build or improve metro rail network"
273,"Power supply",303,"Provide 24 hour power supply"
273,"Power supply",305,"Better maintenance of transformers"
382,"Community Infrastructure and Services",3,"Maintenance/Renovation Of Heritage Sites"
382,"Community Infrastructure and Services",53,"Stop Unauthorised Construction"
382,"Community Infrastructure and Services",162,"Government Land/Property Encroachment"
382,"Community Infrastructure and Services",359,"Construction Of Stadiums"
382,"Community Infrastructure and Services",363,"Maintenance Of Existing Swimming Pools"
382,"Community Infrastructure and Services",385,"Construction Of Shopping And Commercial Complexes"
382,"Community Infrastructure and Services",388,"Construction Of Crematoriums And Burial ground"
382,"Community Infrastructure and Services",390,"Construction Of Educational Institutions And Libraries"
382,"Community Infrastructure and Services",393,"Construction Of Markets"
382,"Community Infrastructure and Services",394,"Fencing Of BBMP/Government Land"
382,"Community Infrastructure and Services",395,"Construction Of Residential Quarters"
382,"Community Infrastructure and Services",399,"Maintenance Of Shopping And Commercial Complexes"
382,"Community Infrastructure and Services",401,"Maintenance Of Existing Council Buildings"
